房源名称,户型,面向,面积,所属区,地址,价钱
整租·成都A区,2室1厅,东南,92㎡,武侯区,武侯高升桥,4000 元/月
丽景华庭二期,1室0厅,东,44㎡,武侯区,武侯外双楠,1600 元/月
首航欣程,2室1厅,南,80㎡,武侯区,武侯棕北,3900 元/月
优客联邦三期,2室1厅,东南,90㎡,武侯区,武侯丽都,3100 元/月
合租·金林俊景,4居室,南卧,8㎡,武侯区,武侯五大花园,960 元/月
整租·和信派都,1室1厅,南,61㎡,武侯区,武侯川大,2600 元/月
鹭岛国际四期,2室1厅,西,89㎡,武侯区,武侯外双楠,3800 元/月
合租·金林俊景,4居室,东卧,12㎡,武侯区,武侯五大花园,1090 元/月
合租·金林俊景,4居室,东卧,8㎡,武侯区,武侯五大花园,890 元/月
合租·金林俊景,4居室,南卧,18㎡,武侯区,武侯五大花园,1230 元/月
合租·九峰国际,3居室,南卧,13㎡,武侯区,武侯红牌楼,1230 元/月
合租·九峰国际,3居室,东卧,9㎡,武侯区,武侯红牌楼,1130 元/月
合租·九峰国际,3居室,东卧,15㎡,武侯区,武侯红牌楼,1360 元/月
成都A区,1室1厅,西南,49㎡,武侯区,武侯高升桥,2200 元/月
合租·天邑华庭,3居室,北卧,11㎡,武侯区,武侯丽都,990 元/月
合租·双楠花园,4居室,东卧,15㎡,武侯区,武侯双楠,1490 元/月
合租·双楠花园,4居室,东卧,13㎡,武侯区,武侯双楠,1190 元/月
世豪嘉柏,2室2厅,南,77㎡,武侯区,武侯草金立交,3000 元/月
合租·双楠华苑,3居室,西卧,11㎡,武侯区,武侯双楠,1090 元/月
合租·双楠华苑,3居室,东卧,16㎡,武侯区,武侯双楠,1230 元/月
华宇蓉国府,1室1厅,东,48㎡,武侯区,武侯玉林,3200 元/月
合租·水漪袅铜,5居室,跃层,13㎡,武侯区,武侯航空路,1390 元/月
整租·鹭岛国际三期,1室2厅,南,99㎡,武侯区,武侯外双楠,5000 元/月
合租·水漪袅铜,5居室,跃层,14㎡,武侯区,武侯航空路,1430 元/月
合租·水漪袅铜,5居室,跃层,13㎡,武侯区,武侯航空路,1430 元/月
武侯国际花园,1室1厅,东南/西南,72㎡,武侯区,武侯红牌楼,2200 元/月
合租·水漪袅铜,5居室,跃层,16㎡,武侯区,武侯航空路,1530 元/月
整租·棕竹街3号,2室1厅,南,67㎡,武侯区,武侯棕北,2100 元/月
鹭岛国际四期,2室1厅,西南/西北,89㎡,武侯区,武侯外双楠,3600 元/月
合租·保利花园二期,4居室,北卧,20㎡,武侯区,武侯新双楠,1490 元/月
都市金岸,1室0厅,东南,39㎡,武侯区,武侯玉林,1900 元/月
整租·南城都汇汇彩园,2室2厅,东南,103㎡,高新区,高新市一医院,3800 元/月
整租·城市春天,2室2厅,南,98㎡,高新区,高新城南宜家,5200 元/月
合租·锦江帆影,6居室,东南卧,16㎡,高新区,高新中和,1300 元/月
独栋·禾尖公寓,人居盛和林语店,田园风,114㎡,高新区,,5500 元/月
银泰中心,3室2厅,南,287㎡,高新区,高新金融城,33000 元/月
合租·时代晶科名苑,4居室,西卧,12㎡,高新区,高新市一医院,1890 元/月
合租·朗基御今缘,4居室,西南卧,12㎡,高新区,高新大源,750 元/月
整租·南城都汇汇彩园,2室2厅,东南,103㎡,高新区,高新市一医院,3800 元/月
合租·天和国际,4居室,南卧,17㎡,高新区,高新东苑,1690 元/月
整租·凯德世纪名邸,3室2厅,东/东南/南,93㎡,高新区,高新大源,3650 元/月
整租·南城都汇汇彩园,3室2厅,东,112㎡,高新区,高新市一医院,4800 元/月
合租·金地天府城,4居室,南卧,14㎡,高新区,高新广都,1330 元/月
整租·中洲锦城湖岸,3室1厅,东南,95㎡,高新区,高新大源,4800 元/月
合租·中德英伦联邦C区,4居室,南卧,12㎡,高新区,高新中德,1690 元/月
合租·南城都汇汇彩园,4居室,北卧,13㎡,高新区,高新市一医院,1660 元/月
合租·英郡三期,4居室,东卧,13㎡,高新区,高新新会展,1690 元/月
合租·南城都汇汇彩园,4居室,北卧,13㎡,高新区,高新市一医院,1660 元/月
整租·名著司南,2室1厅,东,72㎡,高新区,高新广都,2630 元/月
合租·怡丰新城,4居室,北卧,14㎡,高新区,高新中德,1460 元/月
时代晶科名苑,7室2厅,南,178㎡,高新区,高新市一医院,6000 元/月
时代晶科名苑,7室2厅,东南,178㎡,高新区,高新市一医院,6000 元/月
整租·王府花园,1室1厅,东南,67㎡,高新区,高新芳草,2400 元/月
整租·招商大魔方,2室1厅,东南,94㎡,高新区,高新金融城,6500 元/月
合租·神仙树馨苑,4居室,东南卧,13㎡,高新区,高新新北,1060 元/月
天鹅湖北苑,3室1厅,西,162㎡,高新区,高新新会展,5200 元/月
合租·中德英伦联邦B区,4居室,东南卧,20㎡,高新区,高新中德,1200 元/月
合租·中德英伦联邦B区,5居室,东南卧,15㎡,高新区,高新中德,1200 元/月
独栋·猫咪公社,佳年华时代晶座店,14楼简约风,51-58㎡,高新区,,1600-1700 元/月
合租·嘉年华青年城,4居室,跃层,18㎡,高新区,高新远大,1500 元/月
合租·时代晶科名苑,3居室,西卧,8㎡,高新区,高新市一医院,1390 元/月
整租·城市春天,3室1厅,东,125㎡,高新区,高新城南宜家,4800 元/月
合租·嘉年华青年城,4居室,跃层,18㎡,高新区,高新远大,1500 元/月
合租·南城都汇汇雅园二期,4居室,北卧,11㎡,高新区,高新市一医院,1230 元/月
合租·香月湖,6居室,东南卧,14㎡,高新区,高新新会展,1200 元/月
奥克斯广场,3室1厅,南,123㎡,高新区,高新金融城,5900 元/月
独栋·好怡佳公寓,大源店,真照片、房东直租,65㎡,高新区,,1800 元/月
合租·时代晶科名苑,4居室,南卧,10㎡,高新区,高新市一医院,1360 元/月
合租·中德英伦世邦L区,4居室,东南卧,15㎡,高新区,高新广都,1200 元/月
合租·中德英伦联邦C区,5居室,东北卧,9㎡,高新区,高新中德,1030 元/月
整租·南城都汇汇尚园,3室2厅,南/北,136㎡,高新区,高新市一医院,5500 元/月
合租·东苑A区,4居室,北卧,12㎡,高新区,高新东苑,1290 元/月
合租·新绿季节,4居室,东卧,9㎡,高新区,高新紫荆,1090 元/月
整租·中洲锦城湖岸,2室1厅,西南,75㎡,高新区,高新大源,4200 元/月
新里维多利亚公寓,2室1厅,东南,92㎡,高新区,高新神仙树,3100 元/月
合租·雅颂居二期,6居室,东南卧,15㎡,高新区,高新大源,1150 元/月
合租·东苑A区,5居室,南卧,17㎡,高新区,高新东苑,1330 元/月
合租·人居盛和林语南区,4居室,东卧,13㎡,高新区,高新城南宜家,1350 元/月
整租·英郡三期,2室1厅,东南,80㎡,高新区,高新新会展,3400 元/月
合租·成达佳园,4居室,东卧,14㎡,高新区,高新新会展,1190 元/月
合租·成达佳园,4居室,东卧,13㎡,高新区,高新新会展,1190 元/月
合租·英郡一期,4居室,南卧,11㎡,高新区,高新新会展,1290 元/月
合租·东苑F区,3居室,东南卧,16㎡,高新区,高新东苑,1360 元/月
合租·东苑D区,4居室,东南卧,22㎡,高新区,高新东苑,1300 元/月
中海城南华府,2室2厅,西,89㎡,高新区,高新金融城,5500 元/月
合租·美年广场美岸,5居室,南卧,18㎡,高新区,高新新会展,1100 元/月
合租·金地天府城,4居室,西卧,14㎡,高新区,高新广都,1030 元/月
合租·美年广场美岸,5居室,南卧,18㎡,高新区,高新新会展,1200 元/月
合租·金地天府城,4居室,西卧,13㎡,高新区,高新广都,990 元/月
合租·金地天府城,4居室,西卧,14㎡,高新区,高新广都,960 元/月
合租·美年广场美岸,5居室,南卧,16㎡,高新区,高新新会展,1200 元/月
整租·中德英伦联邦B区,3室1厅,东,102㎡,高新区,高新中德,2800 元/月
合租·金地天府城,4居室,北卧,14㎡,高新区,高新广都,960 元/月
东方希望天祥广场,2室1厅,南,59㎡,高新区,高新新会展,3400 元/月
合租·金地天府城,4居室,北卧,14㎡,高新区,高新广都,930 元/月
合租·美年广场美岸,4居室,南卧,22㎡,高新区,高新新会展,1200 元/月
合租·金地天府城,4居室,西卧,11㎡,高新区,高新广都,790 元/月
蓓蕾西巷5号,2室1厅,东,63㎡,高新区,高新芳草,1800 元/月
合租·金地天府城,4居室,西卧,11㎡,高新区,高新广都,790 元/月
超洋花园,2室1厅,南/北,71㎡,高新区,高新衣冠庙,2900 元/月
合租·天府长城柏南郡,5居室,东南卧,16㎡,高新区,高新天府长城,1400 元/月
锦尚天华,3室1厅,东/西,89㎡,高新区,高新东苑,3000 元/月
独栋·冠寓,成都南三环店,A1温馨独居小屋,28㎡,高新区,,1959 元/月
合租·龙湖九里晴川,3居室,东卧,11㎡,高新区,高新广都,960 元/月
独栋·冠寓,成都南三环店,B1温馨独居小屋,1室0厅1卫,高新区,,3979 元/月
整租·嘉年华青年城,1室1厅,跃层,32㎡,高新区,高新远大,2100 元/月
合租·城南名著,4居室,西卧,11㎡,高新区,高新广都,860 元/月
独栋·冠寓,成都南三环店,B2时尚观景阳台房,1室0厅1卫,高新区,,4149 元/月
合租·美年广场美岸,4居室,东南卧,15㎡,高新区,高新新会展,1200 元/月
整租·嘉年华青年城,1室1厅,跃层,32㎡,高新区,高新远大,2000 元/月
独栋·冠寓,成都南三环店,B5豪华装修视野房,1室0厅1卫,高新区,,4719 元/月
整租·远大都市风景五期,2室2厅,东南,56㎡,高新区,高新远大,2000 元/月
合租·锐力领峰,3居室,南卧,7㎡,高新区,高新中德,1090 元/月
合租·朗基御今缘,4居室,东北卧,20㎡,高新区,高新大源,950 元/月
合租·嘉年华青年城,2居室,跃层,33㎡,高新区,高新远大,1800 元/月
独栋·冠寓,成都南三环店,B6豪华装修视野房,110㎡,高新区,,5219 元/月
整租·嘉年华青年城,1室1厅,跃层,32㎡,高新区,高新远大,2100 元/月
独栋·冠寓,成都南三环店,A9豪华装修一居室,110㎡,高新区,,3439 元/月
合租·龙湖九里晴川,5居室,西南卧,10㎡,高新区,高新广都,780 元/月
合租·嘉年华青年城,2居室,跃层,16㎡,高新区,高新远大,1390 元/月
独栋·YOU+优家青年创业社区,成都天府社区店,邻居比你更有料,北,高新区,,3168-3600 元/月
合租·龙湖九里晴川,5居室,东北卧,10㎡,高新区,高新广都,880 元/月
整租·誉峰三期,2室1厅,东南,82㎡,高新区,高新金融城,5500 元/月
合租·时代晶科名苑,4居室,南卧,20㎡,高新区,高新市一医院,1630 元/月
独栋·YOU+优家青年创业社区,成都天府社区店,在吃喝玩乐全GET,北,高新区,,3168-3240 元/月
英郡三期,3室1厅,东南,89㎡,高新区,高新新会展,4500 元/月
整租·仁和春天国际花园,3室2厅,西南,128㎡,高新区,高新金融城,9300 元/月
独栋·YOU+优家青年创业社区,成都天府社区店,闪电维修，无需烦恼,北,高新区,,3240-4500 元/月
整租·枫丹国际,2室1厅,西南,93㎡,高新区,高新金融城,5200 元/月
中海城南一号二期,3室2厅,南,195㎡,高新区,高新金融城,15000 元/月
整租·时代晶科名苑,3室2厅,东南,154㎡,高新区,高新市一医院,7800 元/月
独栋·YOU+优家青年创业社区,成都天府社区店,独居女性首选,北,高新区,,3168-4100 元/月
芳草街4号,3室2厅,西南,94㎡,高新区,高新芳草,2600 元/月
整租·复地雍湖湾,1室1厅,东南,50㎡,高新区,高新大源,2400 元/月
整租·金地天府城,2室1厅,南,68㎡,高新区,高新广都,2530 元/月
融城理想,3室2厅,南,240㎡,高新区,高新市一医院,6000 元/月
整租·金地天府城,2室1厅,南,68㎡,高新区,高新广都,2530 元/月
整租·中洲锦城湖岸,2室2厅,西,76㎡,高新区,高新大源,4800 元/月
整租·中洲锦城湖岸,4室2厅,南/北,124㎡,高新区,高新大源,7200 元/月
新南中心,2室1厅,南,73㎡,高新区,高新城南宜家,3500 元/月
合租·人居盛和林语南区,6居室,东卧,13㎡,高新区,高新城南宜家,1578 元/月
整租·IMC国际广场,2室2厅,西,74㎡,高新区,高新新会展,4800 元/月
金控时代广场,3室1厅,西,108㎡,高新区,高新新会展,4500 元/月
合租·南城都汇汇彩园,4居室,东卧,13㎡,高新区,高新市一医院,1100 元/月
合租·南城都汇汇彩园,4居室,东南卧,13㎡,高新区,高新市一医院,1260 元/月
整租·名著司南,2室1厅,东南,71㎡,高新区,高新广都,2530 元/月
独栋·橙堡公寓,高新希顿店,温馨简洁套一,/,高新区,,2180 元/月
整租·南城都汇汇尚园,3室2厅,南/北,138㎡,高新区,高新市一医院,7500 元/月
合租·黄金时代(中和街道办吉龙二街),4居室,东南卧,16㎡,高新区,高新远大,950 元/月
独栋·橙堡公寓,高新希顿店,欢欢喜喜主题房,/,高新区,,2280 元/月
南城都汇汇尚园,2室2厅,南,88㎡,高新区,高新市一医院,3800 元/月
合租·金地天府城,7居室,东南卧,16㎡,高新区,高新广都,1100 元/月
独栋·橙堡公寓,高新希顿店,带阳台阳光主题房,/,高新区,,2180 元/月
整租·建发鹭洲国际,3室2厅,东,111㎡,高新区,高新大源,6200 元/月
整租·远大都市风景五期,2室1厅,东南,56㎡,高新区,高新远大,1900 元/月
整租·南城都汇汇尚园,2室2厅,南,88㎡,高新区,高新市一医院,4800 元/月
合租·美年广场美岸,4居室,南卧,15㎡,高新区,高新新会展,1000 元/月
合租·东苑B区,4居室,东南卧,13㎡,高新区,高新东苑,950 元/月
合租·军安卫士花园,5居室,东南卧,14㎡,高新区,高新中和,700 元/月
整租·桐梓林壹号,2室2厅,南,89㎡,高新区,高新城南宜家,5800 元/月
整租·南新逸苑,2室1厅,东南,72㎡,高新区,高新广都,2300 元/月
整租·北辰朗诗南门绿郡,3室2厅,东南,116㎡,高新区,高新大源,3600 元/月
合租·中德英伦联邦B区,6居室,东卧,8㎡,高新区,高新中德,800 元/月
独栋·朗诗寓,金融城店,A户型,东南,高新区,,2538-3288 元/月
整租·北辰朗诗南门绿郡,3室2厅,东南,117㎡,高新区,高新大源,3600 元/月
独栋·朗诗寓,金融城店,C户型,/,高新区,,2788-3388 元/月
芳草东街54号,2室1厅,东南,92㎡,高新区,高新芳草,1400 元/月
整租·北辰朗诗南门绿郡,3室2厅,东南,96㎡,高新区,高新大源,3200 元/月
合租·香月湖,6居室,东南卧,12㎡,高新区,高新新会展,800 元/月
独栋·朗诗寓,金融城店,D户型,/,高新区,,2788-3388 元/月
整租·峰汇中心,1室1厅,东南,42㎡,高新区,高新新会展,2300 元/月
整租·嘉年华青年城,1室1厅,跃层,51㎡,高新区,高新远大,2199 元/月
整租·嘉祥瑞庭南城,3室2厅,东南,118㎡,高新区,高新华阳,4299 元/月
合租·英郡三期,3居室,西卧,13㎡,高新区,高新新会展,1390 元/月
南城都汇汇尚园,2室1厅,东,88㎡,高新区,高新市一医院,3800 元/月
合租·英郡一期,4居室,西卧,15㎡,高新区,高新新会展,1690 元/月
整租·中德英伦世邦L区,4室2厅,东南,148㎡,高新区,高新广都,4199 元/月
合租·南城都汇汇彩园,4居室,北卧,8㎡,高新区,高新市一医院,1190 元/月
合租·中德英伦联邦C区,5居室,东卧,9㎡,高新区,高新中德,890 元/月
整租·汇锦城,1室1厅,东,55㎡,高新区,高新大源,2300 元/月
合租·中德英伦世邦L区,4居室,东南卧,12㎡,高新区,高新广都,1050 元/月
合租·融城理想,4居室,北卧,8㎡,高新区,高新市一医院,1260 元/月
中海名城一期,3室2厅,南,123㎡,高新区,高新神仙树,5500 元/月
合租·东苑F区,3居室,东南卧,12㎡,高新区,高新东苑,1230 元/月
整租·汇锦城,1室1厅,南,55㎡,高新区,高新大源,2000 元/月
合租·中德英伦世邦L区,4居室,东南卧,12㎡,高新区,高新广都,1050 元/月
独栋·积木公寓,环球店,舒适双床房,/,高新区,,3880-5480 元/月
合租·大城际,3居室,东卧,14㎡,高新区,高新广都,1060 元/月
整租·汇锦城,1室1厅,东,55㎡,高新区,高新大源,2100 元/月
合租·东苑F区,5居室,东卧,13㎡,高新区,高新东苑,1000 元/月
整租·汇锦城,1室1厅,东,55㎡,高新区,高新大源,2300 元/月
整租·嘉年华青年城,3室1厅,跃层,65㎡,高新区,高新远大,2699 元/月
独栋·积木公寓,火车南站店,精品套一（风起）,/,高新区,,5800-7800 元/月
整租·时代晶座(高新),1室0厅,东北,55㎡,高新区,高新大源,2000 元/月
合租·中德英伦联邦B区,8居室,跃层,13㎡,高新区,高新中德,700 元/月
合租·东苑D区,4居室,南卧,9㎡,高新区,高新东苑,990 元/月
独栋·积木公寓,火车南站店,标间（双床房）,45㎡,高新区,,3680-5280 元/月
长城半岛城邦三期,4室2厅,东南,147㎡,高新区,高新天府长城,6500 元/月
整租·时代晶座(高新),1室1厅,西南,55㎡,高新区,高新大源,2000 元/月
整租·嘉年华青年城,1室1厅,跃层,46㎡,高新区,高新远大,2099 元/月
凯丽滨江花园,4室1厅,南,162㎡,高新区,高新天府长城,6000 元/月
整租·嘉年华青年城,1室1厅,跃层,50㎡,高新区,高新远大,2199 元/月
合租·金地天府城,4居室,北卧,14㎡,高新区,高新广都,930 元/月
整租·嘉年华青年城,1室1厅,LOFT,60㎡,高新区,高新远大,2000 元/月
合租·名著司南,6居室,东卧,12㎡,高新区,高新广都,950 元/月
合租·新里维多利亚公寓,4居室,东卧,12㎡,高新区,高新神仙树,1190 元/月
成都棕榈泉国际中心,3室2厅,东南,112㎡,高新区,高新新会展,12000 元/月
恩威玲珑南域,2室1厅,东南,89㎡,高新区,高新新北,2800 元/月
合租·英郡二期,5居室,西卧,11㎡,高新区,高新新会展,1230 元/月
合租·南城都汇汇翠园一期,3居室,北卧,12㎡,高新区,高新市一医院,1760 元/月
长城半岛城邦三期,4室2厅,东南,147㎡,高新区,高新天府长城,8000 元/月
整租·中洲锦城湖岸,3室1厅,东南,95㎡,高新区,高新大源,4600 元/月
合租·南城都汇汇翠园一期,3居室,北卧,15㎡,高新区,高新市一医院,1730 元/月
独栋·白丁寓,软件园店,1490套一业主自装,30㎡,高新区,,1390 元/月
合租·英郡三期,4居室,西卧,9㎡,高新区,高新新会展,1390 元/月
天鹅湖花园,3室2厅,东南,207㎡,高新区,高新新会展,5000 元/月
合租·美年广场美岸,5居室,南卧,18㎡,高新区,高新新会展,1200 元/月
整租·中洲锦城湖岸,3室2厅,东南,95㎡,高新区,高新大源,4600 元/月
独栋·白丁寓,软件园店,时尚loft下层套一,36㎡,高新区,,1490 元/月
合租·美年广场美岸,4居室,南卧,16㎡,高新区,高新新会展,1200 元/月
合租·怡丰新城,4居室,南卧,17㎡,高新区,高新中德,1430 元/月
独栋·白丁寓,软件园店,时尚loft上层套一,36㎡,高新区,,1490 元/月
合租·天府长城柏南郡,4居室,南卧,20㎡,高新区,高新天府长城,1760 元/月
合租·美年广场美岸,5居室,南卧,18㎡,高新区,高新新会展,1200 元/月
合租·中德英伦联邦B区,5居室,东南卧,10㎡,高新区,高新中德,600 元/月
合租·美年广场美岸,4居室,南卧,25㎡,高新区,高新新会展,1300 元/月
合租·人居盛和林语南区,4居室,东卧,12㎡,高新区,高新城南宜家,1030 元/月
合租·人居盛和林语南区,4居室,东卧,8㎡,高新区,高新城南宜家,1010 元/月
合租·人居盛和林语南区,4居室,东卧,9㎡,高新区,高新城南宜家,1000 元/月
南城都汇汇尚园,2室2厅,南,89㎡,高新区,高新市一医院,3600 元/月
整租·峰汇中心,1室0厅,东南,42㎡,高新区,高新新会展,2300 元/月
合租·南城都汇汇彩园,9居室,东卧,12㎡,高新区,高新市一医院,1100 元/月
合租·南城都汇汇彩园,9居室,东卧,8㎡,高新区,高新市一医院,900 元/月
合租·时代晶科名苑,3居室,北卧,14㎡,高新区,高新市一医院,1930 元/月
合租·南城都汇汇彩园,9居室,东卧,10㎡,高新区,高新市一医院,1000 元/月
合租·桂溪苑,4居室,南卧,14㎡,高新区,高新东苑,1330 元/月
华润凤凰城三期,3室2厅,东,85㎡,高新区,高新大源,4500 元/月
成都棕榈泉国际中心,3室2厅,东南,112㎡,高新区,高新新会展,15000 元/月
合租·金地天府城,4居室,西卧,6㎡,高新区,高新广都,660 元/月
和贵时代巢,1室0厅,南,45㎡,高新区,高新神仙树,1900 元/月
合租·中德英伦世邦K区,4居室,南卧,10㎡,高新区,高新广都,930 元/月
合租·招商中央华城,4居室,南卧,23㎡,成华区,成华东郊记忆,890 元/月
独栋·同创公寓,同创鑫禾大厦店,：芳草青青,40㎡,成华区,,2280 元/月
独栋·同创公寓,同创鑫禾大厦店,今日特推：优选标配,35㎡,成华区,,1850 元/月
独栋·同创公寓,同创鑫禾大厦店,：左邻右里,38-43㎡,成华区,,1820-2180 元/月
万科魅力之城三期,3室2厅,南,120㎡,成华区,成华成渝立交,2500 元/月
合租·鲁能城一期,4居室,东南卧,9㎡,成华区,成华万年场,690 元/月
合租·鲁能城一期,4居室,东南卧,18㎡,成华区,成华万年场,828 元/月
整租·中迪创世纪,3室2厅,南,86㎡,成华区,成华东郊记忆,2980 元/月
华润二十四城四期,3室1厅,南,86㎡,成华区,成华万象城,3500 元/月
华润二十四城一期,2室1厅,南,90㎡,成华区,成华万象城,3200 元/月
合租·鲁能公馆,4居室,南卧,9㎡,成华区,成华万年场,930 元/月
合租·鲁能公馆,4居室,南卧,12㎡,成华区,成华万年场,990 元/月
合租·鲁能公馆,4居室,西北卧,11㎡,成华区,成华万年场,990 元/月
独栋·华润置地·有巢公寓,动物园店,Fun享超大公区,/,成华区,,2528 元/月
独栋·华润置地·有巢公寓,动物园店,动物园地铁口套一,/,成华区,,2046 元/月
合租·鲁能公馆,4居室,西北卧,11㎡,成华区,成华万年场,990 元/月
合租·首创天禧68,4居室,东南卧,30㎡,成华区,成华八里小区,1196 元/月
独栋·华润置地·有巢公寓,动物园店,地铁高品质住房,/,成华区,,2046 元/月
合租·首创天禧68,4居室,东南卧,21㎡,成华区,成华八里小区,1104 元/月
独栋·华润置地·有巢公寓,动物园店,遇见莫兰迪精装套一,48㎡,成华区,,2284 元/月
独栋·华润置地·有巢公寓,动物园店,随时看房/随时签约,55㎡,成华区,,2528 元/月
北回归线二期,2室2厅,东,83㎡,成华区,成华驷马桥,1500 元/月
合租·中铁二局玛塞城,3居室,南卧,12㎡,成华区,成华八里小区,1460 元/月
整租·春熙苑二期,1室1厅,东,38㎡,成华区,成华八里小区,1700 元/月
金科中心,1室1厅,东南,46㎡,成华区,成华驷马桥,1800 元/月
合租·府青惠园,4居室,西卧,11㎡,成华区,成华八里小区,990 元/月
合租·北回归线一期,3居室,南卧,12㎡,成华区,成华驷马桥,1060 元/月
阳光100米娅中心一期,1室1厅,东南,41㎡,成华区,成华万年场,2100 元/月
独栋·同创公寓,同创鑫禾大厦店,：优秀标间,35㎡,成华区,,1820 元/月
天祥街70号,2室2厅,东,75㎡,成华区,成华猛追湾,1700 元/月
独栋·同创公寓,同创鑫禾大厦店,：主推特惠-新缤纷,43㎡,成华区,,2180 元/月
合租·万科魅力之城四期,3居室,南卧,10㎡,成华区,成华成渝立交,990 元/月
嘉通云尚,1室1厅,东南,51㎡,成华区,成华猛追湾,2300 元/月
整租·隆鑫九熙,2室2厅,西北,78㎡,成华区,成华万年场,2300 元/月
合租·华润二十四城二期,3居室,西南卧,16㎡,成华区,成华万象城,1360 元/月
合租·浅水半岛一期,3居室,东卧,13㎡,成华区,成华八里小区,1060 元/月
整租·华润二十四城六期,2室1厅,东南,70㎡,成华区,成华万象城,3000 元/月
天祥街28号,3室1厅,东南,104㎡,成华区,成华猛追湾,2200 元/月
合租·鲁能公馆,3居室,北卧,11㎡,成华区,成华万年场,960 元/月
华宇阳光水岸,1室1厅,西南,46㎡,成华区,成华驷马桥,1800 元/月
浅水半岛一期,3室2厅,东南,129㎡,成华区,成华八里小区,2500 元/月
融锦城,2室1厅,东南,89㎡,成华区,成华驷马桥,2600 元/月
合租·汇融名城B区,4居室,南卧,13㎡,成华区,成华李家沱,800 元/月
合租·首创天禧68,4居室,南卧,21㎡,成华区,成华八里小区,1104 元/月
阳光100米娅中心一期,1室1厅,东南,45㎡,成华区,成华万年场,2400 元/月
整租·金科中心,1室1厅,西南,45㎡,成华区,成华驷马桥,1669 元/月
整租·金科中心,1室1厅,西南,45㎡,成华区,成华驷马桥,1579 元/月
整租·金科中心,1室1厅,西南,45㎡,成华区,成华驷马桥,1579 元/月
整租·观城,1室0厅,西北,37㎡,成华区,成华万象城,2300 元/月
合租·鲁能城一期,4居室,东南卧,21㎡,成华区,成华万年场,902 元/月
整租·金科中心,1室1厅,西南,45㎡,成华区,成华驷马桥,1579 元/月
整租·金科中心,1室1厅,西南,45㎡,成华区,成华驷马桥,1760 元/月
合租·招商中央华城,4居室,南卧,10㎡,成华区,成华东郊记忆,658 元/月
独栋·同创公寓,同创鑫禾大厦店,：高性价比套房,60-61㎡,成华区,,2450-2650 元/月
合租·鲁能城二期,4居室,东南卧,22㎡,成华区,成华万年场,1150 元/月
浅水半岛二期,3室2厅,东,112㎡,成华区,成华八里小区,3000 元/月
合租·鲁能城二期,4居室,东南卧,14㎡,成华区,成华万年场,893 元/月
合租·鲁能城二期,4居室,东南卧,26㎡,成华区,成华万年场,1063 元/月
华润二十四城一期,2室2厅,南,89㎡,成华区,成华万象城,3100 元/月
合租·鲁能城二期,4居室,东南卧,14㎡,成华区,成华万年场,893 元/月
独栋·成都泊寓,建设路店,乐致,30㎡,成华区,,1965-1995 元/月
整租·御龙山二期,3室1厅,东南,83㎡,成华区,成华万年场,2600 元/月
合租·首创国际城二期,6居室,东南卧,15㎡,成华区,成华成渝立交,800 元/月
布坝子街8号,1室1厅,东南,40㎡,成华区,成华猛追湾,1300 元/月
华润二十四城二期,2室2厅,北,55㎡,成华区,成华万象城,2300 元/月
整租·观城,1室1厅,南,52㎡,成华区,成华万象城,2300 元/月
华润二十四城二期,3室2厅,东南,74㎡,成华区,成华万象城,3100 元/月
合租·万科魅力之城二期,4居室,北卧,11㎡,成华区,成华成渝立交,1090 元/月
合租·华宇阳光水岸,3居室,东卧,8㎡,成华区,成华驷马桥,1060 元/月
三街坊社区,2室0厅,东南,64㎡,成华区,成华新华公园,1000 元/月
金科一城,2室1厅,东,72㎡,成华区,成华动物园,1900 元/月
理想城,3室1厅,西北,90㎡,成华区,成华理工大,3000 元/月
合租·千居朝阳,3居室,西南卧,15㎡,成华区,成华万象城,1260 元/月
合租·千居朝阳,3居室,东南卧,13㎡,成华区,成华万象城,1290 元/月
华西花园一期,2室1厅,西北,86㎡,成华区,成华万年场,1800 元/月
合租·金科一城,3居室,北卧,10㎡,成华区,成华动物园,860 元/月
合租·万科魅力之城四期,5居室,西卧,12㎡,成华区,成华成渝立交,960 元/月
合租·蓝润V客东区,4居室,东南卧,10㎡,成华区,成华SM广场,710 元/月
合租·蓝润V客东区,4居室,东南卧,15㎡,成华区,成华SM广场,930 元/月
天空城,3室1厅,东北,121㎡,成华区,成华万年场,2500 元/月
合租·交大归谷建设派,4居室,西南卧,13㎡,成华区,成华理工大,930 元/月
合租·蓝润V客东区,4居室,东南卧,11㎡,成华区,成华SM广场,911 元/月
合租·招商中央华城,4居室,南卧,18㎡,成华区,成华东郊记忆,890 元/月
合租·鲁能城二期,4居室,东南卧,22㎡,成华区,成华万年场,1150 元/月
合租·华润二十四城七期,4居室,西北卧,12㎡,成华区,成华万象城,1530 元/月
蓝光富丽花城,2室1厅,南,59㎡,成华区,成华动物园,1800 元/月
独栋·FUNX青年社区,金科店,独享复式,43㎡,成华区,,1769 元/月
合租·红枫岭二期,3居室,北卧,14㎡,成华区,成华东郊记忆,1290 元/月
独栋·FUNX青年社区,金科店,精致-工业风-开间,45㎡,成华区,,1590 元/月
华润二十四城一期,2室1厅,东,90㎡,成华区,成华万象城,3000 元/月
整租·泛悦城市广场,1室0厅,东南,27㎡,成华区,成华驷马桥,1500 元/月
独栋·FUNX青年社区,金科店,夏季-清爽-A2,45㎡,成华区,,1679 元/月
中铁二局玛塞城,2室1厅,南,61㎡,成华区,成华八里小区,2600 元/月
