房源名称,户型,面向,面积,所属区,地址,价钱
上行汇锦,2室2厅,南,79㎡,锦江区,锦江合江亭,3000 元/月
恒大都汇华庭,1室1厅,西南,68㎡,锦江区,锦江合江亭,5200 元/月
合租·朝阳名宅,3居室,西卧,9㎡,锦江区,锦江九眼桥,1130 元/月
合租·蜀都花园,4居室,东北卧,13㎡,锦江区,锦江水碾河,1190 元/月
南沟头巷20号,1室1厅,南,58㎡,锦江区,锦江盐市口,2300 元/月
合租·朝阳名宅,3居室,西卧,10㎡,锦江区,锦江九眼桥,1130 元/月
下莲池街5号,3室1厅,南,141㎡,锦江区,锦江合江亭,4500 元/月
合租·莲花逸都,3居室,东卧,12㎡,锦江区,锦江九眼桥,1290 元/月
恒大都汇华庭,1室1厅,东,68㎡,锦江区,锦江合江亭,5300 元/月
恒大都汇华庭,1室1厅,东南,51㎡,锦江区,锦江合江亭,5200 元/月
财富中心,1室1厅,南,47㎡,锦江区,锦江盐市口,2400 元/月
合租·上行汇锦,4居室,南卧,17㎡,锦江区,锦江合江亭,1730 元/月
独栋·成都泊寓,锦华店,温馨派-32号户型,28㎡,锦江区,,1338 元/月
仁恒滨河湾,3室2厅,东南/南,125㎡,锦江区,锦江东大路,7700 元/月
皇城公寓,5室2厅,东,180㎡,锦江区,锦江盐市口,5000 元/月
合租·ICC凯旋门,4居室,西南卧,15㎡,锦江区,锦江东大路,1330 元/月
蓉上坊二期,3室2厅,东,125㎡,锦江区,锦江合江亭,5200 元/月
整租·锦蓉佳苑,2室2厅,东南,84㎡,锦江区,锦江三圣乡,2600 元/月
整租·ICC天曜,2室1厅,东南,128㎡,锦江区,锦江东大路,5000 元/月
鑫苑名家一期,1室0厅,西南,41㎡,锦江区,锦江卓锦城,1200 元/月
整租·米市坝61号院,2室1厅,东北,74㎡,锦江区,锦江九眼桥,1200 元/月
整租·天誉南庭,3室2厅,东南,92㎡,锦江区,锦江攀成钢,4500 元/月
蓉上坊一期,2室2厅,南,89㎡,锦江区,锦江合江亭,3500 元/月
莲花逸都,3室2厅,西北/东北,110㎡,锦江区,锦江九眼桥,5000 元/月
摩根中心,2室1厅,东南,85㎡,锦江区,锦江九眼桥,5500 元/月
整租·摩根中心,1室1厅,东南,56㎡,锦江区,锦江九眼桥,2800 元/月
独栋·朗诗寓,琉璃场店,LOFT,45㎡,锦江区,,2138 元/月
蓉上坊二期,3室1厅,南,136㎡,锦江区,锦江合江亭,7500 元/月
沙河壹号二期,2室2厅,东南,74㎡,锦江区,锦江沙河堡,2500 元/月
财富中心,1室1厅,东,50㎡,锦江区,锦江盐市口,2350 元/月
合租·锦东庭园,4居室,东卧,18㎡,锦江区,锦江沙河堡,1080 元/月
萧邦,2室1厅,东,51㎡,锦江区,锦江盐市口,4000 元/月
缤舍,2室1厅,东,60㎡,锦江区,锦江盐市口,3800 元/月
天紫界,1室0厅,南,30㎡,锦江区,锦江九眼桥,2200 元/月
恒大都汇华庭,1室1厅,东南,67㎡,锦江区,锦江合江亭,4500 元/月
摩根中心,1室1厅,东南,59㎡,锦江区,锦江九眼桥,2500 元/月
整租·中港CCPARK,3室2厅,南,112㎡,锦江区,锦江东湖,6500 元/月
天紫界,1室0厅,西南,30㎡,锦江区,锦江九眼桥,2250 元/月
整租·瑞升国际中心,1室1厅,东南,47㎡,锦江区,锦江三官堂,3800 元/月
镋钯街74号院,2室1厅,南,52㎡,锦江区,锦江合江亭,2200 元/月
华润幸福里一期,2室2厅,东南,77㎡,锦江区,锦江川师,3400 元/月
整租·泰合国际财富中心,1室1厅,东南/南,58㎡,锦江区,锦江攀成钢,3500 元/月
合租·中粮鸿云,4居室,南卧,16㎡,锦江区,锦江东大路,1100 元/月
